OrderID,OrderName,Category,Subcategory,Modality,Contrast,BodyPart,Laterality,PriorityDefault,CodingSystem,Code,Keywords
IMG01022,CT abdomen with and without contrast,Abdomen/Pelvis,CT,CT,W/WO,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, CT, with and without"
IMG01021,CT abdomen with contrast,Abdomen/Pelvis,CT,CT,W,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, CT, With contrast"
IMG01020,CT abdomen without contrast,Abdomen/Pelvis,CT,CT,WO,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, CT, Without contrast"
IMG01023,CT angiography abdomen,Abdomen/Pelvis,CT,CT,Angio,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, CT, CTA, angiography"
IMG01030,CT abdomen/pelvis with and without contrast,Abdomen/Pelvis,CT,CT,W/WO,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, CT, with and without"
IMG01029,CT abdomen/pelvis with contrast,Abdomen/Pelvis,CT,CT,W,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, CT, With contrast"
IMG01028,CT abdomen/pelvis without contrast,Abdomen/Pelvis,CT,CT,WO,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, CT, Without contrast"
IMG01031,CT angiography abdomen/pelvis,Abdomen/Pelvis,CT,CT,Angio,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, CT, CTA, angiography"
IMG01027,CT angiography pelvis,Abdomen/Pelvis,CT,CT,Angio,Pelvis,,Routine,,,"Abdomen/Pelvis, CT, CTA, Pelvis, angiography"
IMG01026,CT pelvis with and without contrast,Abdomen/Pelvis,CT,CT,W/WO,Pelvis,,Routine,,,"Abdomen/Pelvis, CT, Pelvis, with and without"
IMG01025,CT pelvis with contrast,Abdomen/Pelvis,CT,CT,W,Pelvis,,Routine,,,"Abdomen/Pelvis, CT, Pelvis, With contrast"
IMG01024,CT pelvis without contrast,Abdomen/Pelvis,CT,CT,WO,Pelvis,,Routine,,,"Abdomen/Pelvis, CT, Pelvis, Without contrast"
IMG01034,MRI abdomen with and without contrast,Abdomen/Pelvis,MRI,MRI,W/WO,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, MRI, with and without"
IMG01033,MRI abdomen with contrast,Abdomen/Pelvis,MRI,MRI,W,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, MRI, With contrast"
IMG01032,MRI abdomen without contrast,Abdomen/Pelvis,MRI,MRI,WO,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, MRI, Without contrast"
IMG01040,MRI abdomen/pelvis with and without contrast,Abdomen/Pelvis,MRI,MRI,W/WO,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, with and without"
IMG01039,MRI abdomen/pelvis with contrast,Abdomen/Pelvis,MRI,MRI,W,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, With contrast"
IMG01038,MRI abdomen/pelvis without contrast,Abdomen/Pelvis,MRI,MRI,WO,Abdomen/Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, Without contrast"
IMG01037,MRI pelvis with and without contrast,Abdomen/Pelvis,MRI,MRI,W/WO,Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, Pelvis, with and without"
IMG01036,MRI pelvis with contrast,Abdomen/Pelvis,MRI,MRI,W,Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, Pelvis, With contrast"
IMG01035,MRI pelvis without contrast,Abdomen/Pelvis,MRI,MRI,WO,Pelvis,,Routine,,,"Abdomen/Pelvis, MRI, Pelvis, Without contrast"
IMG01041,Ultrasound abdomen,Abdomen/Pelvis,Ultrasound,Ultrasound,N/A,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, Ultrasound"
IMG01042,Ultrasound abdomen with Doppler,Abdomen/Pelvis,Ultrasound,Ultrasound,Doppler,Abdomen,,Routine,,,"Abdomen, Abdomen/Pelvis, Doppler, Ultrasound"
IMG01045,Ultrasound gallbladder,Abdomen/Pelvis,Ultrasound,Ultrasound,N/A,Gallbladder,,Routine,,,"Abdomen/Pelvis, Gallbladder, Ultrasound"
IMG01046,Ultrasound gallbladder with Doppler,Abdomen/Pelvis,Ultrasound,Ultrasound,Doppler,Gallbladder,,Routine,,,"Abdomen/Pelvis, Doppler, Gallbladder, Ultrasound"
